Age,Credit amount,Duration,Purpose,Risk,Risk_encode,Predicted_risk,Predicted_prob_risk
67,1169,6,radio/TV,good,0,0,0.08382861414147445
22,5951,48,radio/TV,bad,1,1,0.6499900138950617
49,2096,12,education,good,0,0,0.2607919847662834
45,7882,42,furniture/equipment,good,0,1,0.5148568265255546
53,4870,24,car,bad,1,1,0.7088487294146683
35,9055,36,education,good,0,1,0.5332524718792482
53,2835,24,furniture/equipment,good,0,0,0.34223608705400366
35,6948,36,car,good,0,0,0.33907881358289466
61,3059,12,radio/TV,good,0,0,0.2277619516181955
28,5234,30,car,bad,1,1,0.6109305505525959
25,1295,12,car,bad,1,1,0.7470169390255945
24,4308,48,business,bad,1,1,0.8035557437060895
22,1567,12,radio/TV,good,0,1,0.6026990943305983
60,1199,24,car,bad,1,1,0.5801411053193923
28,1403,15,car,good,0,1,0.5437575166621665
32,1282,24,radio/TV,bad,1,1,0.6101032336973737
53,2424,24,radio/TV,good,0,0,0.2514911579187705
25,8072,30,business,good,0,1,0.7843360383775442
44,12579,24,car,bad,1,1,0.7091871491147576
31,3430,24,radio/TV,good,0,0,0.494097314943508
48,2134,9,car,good,0,0,0.2091611701101113
44,2647,6,radio/TV,good,0,0,0.10074971418735061
48,2241,10,car,good,0,0,0.21228932279818344
44,1804,12,car,good,0,0,0.35055473238334584
26,2069,10,furniture/equipment,good,0,0,0.41886802145142765
36,1374,6,furniture/equipment,good,0,0,0.1776380004341162
39,426,6,radio/TV,good,0,0,0.07193534734379396
42,409,12,radio/TV,good,0,0,0.2204366549876347
34,2415,7,radio/TV,good,0,0,0.1043078627089331
63,6836,60,business,bad,1,1,0.7184939525842351
36,1913,18,business,good,0,0,0.4348326433030815
27,4020,24,furniture/equipment,good,0,1,0.6861003277652702
30,5866,18,car,good,0,0,0.3955720212847663
57,1264,12,business,good,0,0,0.32765892229716154
33,1474,12,furniture/equipment,good,0,0,0.3940376708500566
25,4746,45,radio/TV,bad,1,1,0.7106884648184724
31,6110,48,education,good,0,0,0.4604714512428484
37,2100,18,radio/TV,bad,1,0,0.40941823935586574
37,1225,10,domestic appliances,good,0,0,0.3805128939290261
24,458,9,radio/TV,good,0,0,0.48179280050745615
30,2333,30,radio/TV,good,0,1,0.5123745970389607
26,1158,12,radio/TV,good,0,0,0.4256729642163412
44,6204,18,repairs,good,0,0,0.47438938954415216
24,6187,30,car,good,0,1,0.6104616022150333
58,6143,48,car,bad,1,1,0.6496491694712486
35,1393,11,car,good,0,0,0.30126941813094404
39,2299,36,radio/TV,good,0,0,0.4741105241338376
23,1352,6,car,good,0,0,0.46291971275772453
39,7228,11,car,good,0,0,0.3725546977389606
28,2073,12,radio/TV,good,0,0,0.4298509156836143
29,2333,24,furniture/equipment,good,0,1,0.6033410185683301
30,5965,27,car,good,0,0,0.37600284815337476
25,1262,12,radio/TV,good,0,1,0.5339485325573349
31,3378,18,car,good,0,0,0.47889630482063794
57,2225,36,car,bad,1,0,0.4570778280755238
26,783,6,car,good,0,0,0.3818008692430943
52,6468,12,radio/TV,bad,1,1,0.5980215439430028
31,9566,36,radio/TV,good,0,1,0.534194908751952
23,1961,18,car,good,0,1,0.6661321144876685
23,6229,36,furniture/equipment,bad,1,1,0.7474159625171423
27,1391,9,business,good,0,0,0.3967630210597296
50,1537,15,radio/TV,good,0,0,0.19702657677985333
61,1953,36,business,bad,1,1,0.5209462935328166
25,14421,48,business,bad,1,1,0.8128050778139173
26,3181,24,radio/TV,good,0,0,0.4720004432577307
48,5190,27,repairs,good,0,0,0.4368443170461485
29,2171,12,radio/TV,good,0,0,0.45159898456078557
22,1007,12,car,good,0,1,0.7509247054333321
37,1819,36,education,bad,1,1,0.613417858343783
25,2394,36,radio/TV,good,0,1,0.5897575761992385
30,8133,36,car,good,0,1,0.5780757413174417
46,730,7,radio/TV,good,0,0,0.04679323431910632
51,1164,8,vacation/others,good,0,0,0.14556131844047318
41,5954,42,business,good,0,1,0.5121555946925725
40,1977,36,education,bad,1,1,0.6100435450146928
66,1526,12,car,good,0,0,0.3597152609374551
34,3965,42,radio/TV,bad,1,1,0.59628006570045
51,4771,11,radio/TV,good,0,0,0.37344336083765767
39,9436,54,car,good,0,1,0.6879725247594136
22,3832,30,furniture/equipment,good,0,0,0.46393864786222494
44,5943,24,radio/TV,bad,1,0,0.49225987258426396
47,1213,15,radio/TV,good,0,0,0.2638817945982307
24,1568,18,business,good,0,1,0.516783660491264
58,1755,24,vacation/others,good,0,0,0.34520072807841357
52,2315,10,radio/TV,good,0,0,0.11803808559358295
29,1412,12,business,good,0,0,0.36923542756334987
27,1295,18,furniture/equipment,good,0,1,0.6437729940834145
47,12612,36,education,bad,1,1,0.7106979389032404
30,2249,18,car,good,0,1,0.5504569455147315
28,1108,12,repairs,bad,1,1,0.5141587752222457
56,618,12,radio/TV,good,0,0,0.18160771268052653
54,1409,12,car,good,0,0,0.24983568597103412
33,797,12,radio/TV,bad,1,0,0.4967014212460835
20,3617,24,furniture/equipment,good,0,0,0.4876218679943925
54,1318,12,car,good,0,0,0.308404000866626
58,15945,54,business,bad,1,1,0.7735800610953626
61,2012,12,education,good,0,0,0.24082398859929832
34,2622,18,business,good,0,0,0.4380047076020748
36,2337,36,radio/TV,good,0,0,0.4557080617748214
36,7057,20,car,good,0,0,0.43120982633185206
41,1469,24,car,good,0,0,0.4903930473418642
24,2323,36,radio/TV,good,0,1,0.6162083123367538
24,932,6,radio/TV,good,0,0,0.22752159248096654
35,1919,9,furniture/equipment,good,0,0,0.24424575527208184
26,2445,12,car,good,0,1,0.5134349880432498
39,11938,24,vacation/others,bad,1,1,0.6537506170158554
39,6458,18,car,bad,1,1,0.5583850543878208
32,6078,12,car,good,0,0,0.45527499199680477
30,7721,24,furniture/equipment,good,0,0,0.46130166642338943
35,1410,14,business,good,0,0,0.3321586549021008
31,1449,6,business,good,0,0,0.19332339328395373
23,392,15,education,good,0,1,0.6458142778005481
28,6260,18,car,good,0,0,0.48386228546684523
25,7855,36,car,bad,1,1,0.6793708187705907
35,1680,12,radio/TV,good,0,0,0.2857380793731162
47,3578,48,radio/TV,good,0,0,0.24723442059113407
30,7174,42,radio/TV,bad,1,1,0.5774421287019472
27,2132,10,furniture/equipment,good,0,0,0.41610457173957904
23,4281,33,furniture/equipment,bad,1,1,0.8298309405178946
36,2366,12,car,good,0,0,0.36010265764229693
25,1835,21,radio/TV,bad,1,1,0.5549818329329681
41,3868,24,car,good,0,0,0.4230386712854281
24,1768,12,furniture/equipment,good,0,1,0.5535580800472271
63,781,10,car,good,0,0,0.20997394257459007
27,1924,18,furniture/equipment,bad,1,1,0.5863101895104783
30,2121,12,car,good,0,0,0.44981047781186645
40,701,12,radio/TV,good,0,0,0.2614680638586262
30,639,12,repairs,bad,1,1,0.5396116604632887
34,1860,12,car,good,0,0,0.45273237179016834
29,3499,12,car,bad,1,1,0.5169015767457028
24,8487,48,car,good,0,1,0.7967406944818943
29,6887,36,education,bad,1,1,0.6746267750684872
27,2708,15,furniture/equipment,good,0,0,0.47121217609567767
47,1984,18,furniture/equipment,good,0,0,0.3222087652448721
21,10144,60,radio/TV,good,0,1,0.7334155297701632
38,1240,12,radio/TV,good,0,0,0.3422955236341874
27,8613,27,car,good,0,1,0.7360210568647019
66,766,12,radio/TV,bad,1,0,0.2441279444173513
35,2728,15,radio/TV,good,0,0,0.2579391249134729
44,1881,12,radio/TV,good,0,0,0.231851048286597
27,709,6,car,good,0,0,0.37510950811897703
30,4795,36,radio/TV,good,0,1,0.5013497795180402
27,3416,27,radio/TV,good,0,0,0.4568651784434601
22,2462,18,furniture/equipment,bad,1,1,0.6935613962056751
23,2288,21,furniture/equipment,good,0,1,0.6582162945072381
30,3566,48,business,good,0,0,0.41148090493542283
39,860,6,car,good,0,0,0.21926835894114846
51,682,12,car,good,0,0,0.39366828020417893
28,5371,36,furniture/equipment,good,0,1,0.6086708090332499
46,1582,18,radio/TV,good,0,0,0.24198213367250662
42,1346,6,radio/TV,good,0,0,0.08440337349253213
38,1924,10,radio/TV,good,0,0,0.16166160232357352
24,5848,36,radio/TV,good,0,1,0.6376829558184877
29,7758,24,car,good,0,0,0.4649626362422871
36,6967,24,business,good,0,1,0.5228287937955418
20,1282,12,furniture/equipment,bad,1,1,0.638063695803653
48,1288,9,repairs,good,0,0,0.21768178442128658
45,339,12,education,good,0,0,0.4436609583483831
38,3512,24,car,good,0,0,0.4144835722601706
34,1898,6,radio/TV,good,0,0,0.10019024877241361
36,2872,24,radio/TV,good,0,0,0.40411541525256917
30,1055,18,car,good,0,1,0.7240188930746215
36,1262,15,domestic appliances,good,0,1,0.5270650053628504
70,7308,10,car,good,0,0,0.4362890678259076
36,909,36,car,good,0,1,0.623974323781149
32,2978,6,furniture/equipment,good,0,0,0.24476058406620296
33,1131,18,furniture/equipment,bad,1,1,0.6757606474141313
20,1577,11,furniture/equipment,good,0,1,0.5617410386719837
25,3972,24,furniture/equipment,good,0,1,0.7605264056847979
31,1935,24,business,bad,1,1,0.5233762612270304
33,950,15,car,bad,1,1,0.697065862540597
26,763,12,furniture/equipment,good,0,1,0.5725975504240088
34,2064,24,furniture/equipment,bad,1,1,0.5689927900019025
33,1414,8,radio/TV,good,0,0,0.2232543862084154
26,3414,21,education,bad,1,1,0.5317246449103815
53,7485,30,car,bad,1,1,0.6289965057961483
42,2577,12,furniture/equipment,good,0,0,0.3292378701399236
52,338,6,radio/TV,good,0,0,0.06555345669244189
31,1963,12,radio/TV,good,0,0,0.38486615434346355
65,571,21,car,good,0,1,0.5554328868560742
28,9572,36,business,bad,1,1,0.8248997836972112
30,4455,36,business,bad,1,1,0.6184745589190592
40,1647,21,car,bad,1,0,0.4951228135710125
50,3777,24,furniture/equipment,good,0,0,0.29975985551864737
36,884,18,car,bad,1,1,0.593769842115432
31,1360,15,radio/TV,good,0,0,0.4196587644830951
74,5129,9,car,bad,1,0,0.4839266985351095
68,1175,16,car,good,0,1,0.5750965888038946
20,674,12,radio/TV,bad,1,1,0.5846691813272424
33,3244,18,furniture/equipment,good,0,0,0.45686279197714674
54,4591,24,business,bad,1,1,0.7562835477441324
34,3844,48,business,bad,1,0,0.48299998370440117
36,3915,27,business,bad,1,1,0.6760066033007317
29,2108,6,radio/TV,good,0,0,0.10541544699842506
21,3031,45,radio/TV,bad,1,1,0.6982067728075676
34,1501,9,education,bad,1,0,0.44933698908280434
28,1382,6,radio/TV,good,0,0,0.1093560922135974
27,951,12,furniture/equipment,bad,1,1,0.5883549173593857
36,2760,24,car,good,0,0,0.43271664661572595
40,4297,18,furniture/equipment,bad,1,1,0.5314577962955589
52,936,9,education,good,0,0,0.2575320395666251
27,1168,12,car,good,0,1,0.650483807809767
26,5117,27,business,good,0,1,0.5746245478916354
21,902,12,education,bad,1,1,0.7207085680603672
38,1495,12,car,good,0,0,0.35619361232375935
38,10623,30,car,good,0,1,0.667823105406826
43,1935,12,furniture/equipment,good,0,0,0.30924918150797903
26,1424,12,domestic appliances,good,0,1,0.5375178921901759
21,6568,24,business,good,0,1,0.6387472753551711
55,1413,12,car,good,0,0,0.2551965363943561
33,3074,9,radio/TV,good,0,0,0.29096405741091713
45,3835,36,radio/TV,good,0,0,0.4092038203587963
50,5293,27,business,bad,1,1,0.7144359449879569
66,1908,30,business,bad,1,1,0.5082109443428285
51,3342,36,radio/TV,good,0,0,0.379998639372835
39,932,6,education,good,0,0,0.24667568598434353
31,3104,18,business,good,0,0,0.4357825788719332
23,3913,36,radio/TV,good,0,1,0.5262876842520474
24,3021,24,furniture/equipment,good,0,1,0.6701369194122772
64,1364,10,car,good,0,0,0.17514327804532917
26,625,12,radio/TV,good,0,0,0.44597439671883987
23,1200,12,education,good,0,1,0.6932785221848247
30,707,12,radio/TV,good,0,0,0.494298269557067
32,2978,24,business,good,0,0,0.4521896756134509
30,4657,15,car,good,0,1,0.5242826749543711
27,2613,36,repairs,good,0,1,0.5083949023394001
27,10961,48,radio/TV,bad,1,1,0.6923414137705083
53,7865,12,furniture/equipment,bad,1,1,0.610629907383666
22,1478,9,radio/TV,bad,1,1,0.660523681560619
22,3149,24,furniture/equipment,good,0,1,0.6338030022868987
26,4210,36,radio/TV,bad,1,1,0.7632064292474031
51,2507,9,car,good,0,0,0.14624211043953364
35,2141,12,radio/TV,good,0,0,0.2874665620511498
25,866,18,radio/TV,good,0,0,0.4850997841318938
42,1544,4,radio/TV,good,0,0,0.07026957439317832
30,1823,24,radio/TV,bad,1,1,0.5416614544372795
23,14555,6,car,bad,1,1,0.6176345450229703
61,2767,21,business,bad,1,0,0.35921552972214177
35,1291,12,radio/TV,good,0,0,0.34655815705821097
39,2522,30,radio/TV,good,0,0,0.43279395226343276
29,915,24,car,bad,1,1,0.7292476571850662
51,1595,6,radio/TV,good,0,0,0.06923038664060606
24,4605,48,car,bad,1,1,0.7478527503240747
27,1185,12,business,good,0,0,0.4299800213223767
35,3447,12,education,good,0,0,0.42977401393341874
25,1258,24,business,good,0,1,0.6465083609915827
52,717,12,radio/TV,good,0,0,0.20816085912458468
35,1204,6,car,good,0,0,0.3566877986264085
26,1925,24,furniture/equipment,good,0,1,0.5962310907792238
22,433,18,radio/TV,bad,1,1,0.6130464065603539
39,666,6,car,good,0,0,0.19769944659719077
46,2251,12,furniture/equipment,good,0,0,0.24737869996885833
24,2150,30,car,bad,1,1,0.7368076977873939
35,4151,24,furniture/equipment,good,0,0,0.4927986365078448
24,2030,9,furniture/equipment,good,0,1,0.5675437439837505
27,7418,60,radio/TV,good,0,0,0.4938713041509992
35,2684,24,radio/TV,good,0,0,0.4735718503922811
29,2149,12,radio/TV,bad,1,0,0.45159898456078557
23,3812,15,car,good,0,0,0.36284188110475135
57,1154,11,radio/TV,good,0,0,0.16825256122677743
27,1657,12,furniture/equipment,good,0,0,0.47560949849448314
55,1603,24,radio/TV,good,0,0,0.26648193673615045
36,5302,18,car,good,0,0,0.4100244453571147
57,2748,12,education,good,0,0,0.25268954676737726
32,1231,10,car,good,0,1,0.5774495387804488
37,802,15,radio/TV,bad,1,0,0.3174200534493176
36,6304,36,business,good,0,0,0.3919804016306809
38,1533,24,radio/TV,good,0,0,0.4393006424920552
45,8978,14,car,bad,1,1,0.6675837641416517
25,999,24,radio/TV,good,0,1,0.5106702404506709
32,2662,18,car,good,0,1,0.5116918085692803
37,1402,12,furniture/equipment,good,0,0,0.32702289943663326
36,12169,48,car,good,0,1,0.6116204232441695
28,3060,48,radio/TV,bad,1,1,0.51472279399117
34,11998,30,repairs,bad,1,1,0.6070559767241737
32,2697,9,radio/TV,good,0,0,0.28445706428471906
26,2404,18,radio/TV,good,0,0,0.454554377200771
49,1262,12,furniture/equipment,good,0,0,0.3111676296851934
32,4611,6,furniture/equipment,bad,1,0,0.4928292117431944
29,1901,24,radio/TV,good,0,1,0.5466021166118538
23,3368,15,car,good,0,0,0.46481418072480596
50,1574,12,furniture/equipment,good,0,0,0.2200784614370832
49,1445,18,radio/TV,good,0,0,0.2262427162214814
63,1520,15,furniture/equipment,good,0,0,0.22545510179599604
37,3878,24,car,good,0,0,0.4145310230447437
35,10722,47,car,good,0,1,0.5704908189496599
26,4788,48,car,good,0,1,0.5911428208768283
31,7582,48,vacation/others,good,0,1,0.5559533082924607
49,1092,12,radio/TV,good,0,0,0.20074498971729893
48,1024,24,radio/TV,bad,1,0,0.3516199490770014
26,1076,12,business,good,0,0,0.4329485665604217
28,9398,36,car,bad,1,1,0.8266039216039534
44,6419,24,car,good,0,1,0.613579449101758
56,4796,42,car,good,0,1,0.6365682986141861
46,7629,48,business,good,0,1,0.6275864676558801
26,9960,48,furniture/equipment,bad,1,1,0.7367000971764939
20,4675,12,car,good,0,1,0.6116308752543045
45,1287,10,car,good,0,0,0.2962929887533658
43,2515,18,furniture/equipment,good,0,0,0.4134388116213701
32,2745,21,furniture/equipment,good,0,0,0.4945194590807464
54,672,6,car,good,0,0,0.1685981554670632
42,3804,36,radio/TV,bad,1,1,0.5081763598414755
37,1344,24,car,bad,1,1,0.6511870316792894
49,1038,10,car,good,0,0,0.2648904710897551
44,10127,48,car,bad,1,1,0.7091871491147576
33,1543,6,furniture/equipment,good,0,0,0.17517961636720603
24,4811,30,car,good,0,1,0.703149449466533
33,727,12,radio/TV,bad,1,1,0.5047360623176372
24,1237,8,furniture/equipment,bad,1,1,0.5746525977955106
22,276,9,car,good,0,1,0.7381912255418862
40,5381,48,vacation/others,good,0,0,0.45529594550756547
25,5511,24,furniture/equipment,good,0,1,0.5162157988740783
26,3749,24,furniture/equipment,good,0,0,0.4365931329031411
25,685,12,car,bad,1,1,0.7730021469445693
29,1494,4,car,good,0,0,0.2899352265619315
31,2746,36,furniture/equipment,bad,1,1,0.6136700075510975
38,708,12,furniture/equipment,good,0,0,0.4122826910989008
48,4351,24,furniture/equipment,good,0,1,0.5307831739217059
32,701,12,education,good,0,1,0.6735892402907898
27,3643,15,furniture/equipment,good,0,0,0.36076680721247995
28,4249,30,car,bad,1,1,0.7377637485587063
32,1938,24,radio/TV,bad,1,1,0.5414035693430538
34,2910,24,car,good,0,1,0.5047243068564365
28,2659,18,furniture/equipment,good,0,1,0.5505988377691511
36,1028,18,car,good,0,1,0.5933706628768846
39,3398,8,car,good,0,0,0.22994516993978945
49,5801,12,furniture/equipment,good,0,0,0.44825066349949255
34,1525,24,car,good,0,1,0.5647127129900668
31,4473,36,radio/TV,good,0,1,0.5312035362709185
28,1068,6,radio/TV,good,0,0,0.11120147491831574
75,6615,24,car,good,0,1,0.5882085045313673
30,1864,18,education,bad,1,1,0.6010318996176698
24,7408,60,car,bad,1,1,0.5492622446757636
24,11590,48,car,bad,1,1,0.7967406944818943
23,4110,24,furniture/equipment,bad,1,1,0.7414205337624762
44,3384,6,furniture/equipment,bad,1,0,0.314355972182353
23,2101,13,radio/TV,good,0,0,0.4786608193788179
24,1275,15,domestic appliances,bad,1,1,0.6978463932097199
28,4169,24,furniture/equipment,good,0,1,0.6897166504797988
31,1521,10,furniture/equipment,good,0,0,0.3283595227011346
24,5743,24,education,good,0,1,0.5257584559627404
26,3599,21,furniture/equipment,good,0,0,0.37882813358456136
25,3213,18,radio/TV,good,0,0,0.42198930549148733
33,4439,18,business,good,0,1,0.6138717868882496
37,3949,10,car,good,0,0,0.39516369714773103
43,1459,15,radio/TV,good,0,0,0.2244605019498583
23,882,13,radio/TV,good,0,0,0.462535088632669
23,3758,24,radio/TV,good,0,0,0.43335154355837413
34,1743,6,business,good,0,0,0.16273637630040005
32,1136,9,education,bad,1,1,0.6315519793251637
23,1236,9,domestic appliances,good,0,1,0.6876864029369691
29,959,9,furniture/equipment,bad,1,1,0.5375956827893987
38,3229,18,car,good,0,0,0.41914721358200674
28,6199,12,radio/TV,bad,1,1,0.5268313320683845
46,727,10,education,good,0,0,0.335388830156346
23,1246,24,car,bad,1,1,0.8034648569163919
49,2331,12,radio/TV,good,0,0,0.17002375378954263
26,4463,36,radio/TV,bad,1,1,0.7544826544807282
28,776,12,radio/TV,good,0,0,0.48035134009173147
23,2406,30,furniture/equipment,bad,1,1,0.7188049906945919
61,1239,18,education,good,0,0,0.48405414780263845
37,3399,12,radio/TV,good,0,0,0.2835905841049724
36,2247,12,car,good,0,0,0.3594018232514685
21,1766,6,furniture/equipment,good,0,0,0.4234345037334329
25,2473,18,furniture/equipment,bad,1,1,0.6742294310980096
36,1542,12,business,good,0,0,0.3433049026359414
27,3850,18,car,good,0,0,0.4088735095330493
22,3650,18,furniture/equipment,good,0,0,0.404087628673026
42,3446,36,furniture/equipment,bad,1,1,0.5639654337850069
40,3001,18,furniture/equipment,good,0,0,0.40583461474261645
36,3079,36,car,good,0,0,0.4756239667781908
33,6070,18,radio/TV,good,0,0,0.43530805210592716
23,2146,10,furniture/equipment,good,0,1,0.5418542382234246
63,13756,60,car,good,0,1,0.6576602734190269
60,14782,60,vacation/others,bad,1,1,0.631163154650419
37,7685,48,business,bad,1,1,0.518679448015237
34,2320,18,radio/TV,good,0,0,0.4202834813691425
36,846,7,radio/TV,good,0,0,0.07200661761527677
57,14318,36,car,bad,1,1,0.7038839415754308
52,362,6,car,good,0,0,0.17161915840799524
39,2212,20,furniture/equipment,good,0,0,0.43800095289580526
38,12976,18,car,bad,1,1,0.6739585250530912
25,1283,22,car,good,0,1,0.7762029438738335
26,1330,12,car,good,0,1,0.6276605629771163
26,4272,30,business,good,0,1,0.7206060599700825
25,2238,18,radio/TV,good,0,1,0.5499669447660661
21,1126,18,radio/TV,good,0,1,0.5604329679581916
40,7374,18,furniture/equipment,good,0,0,0.4197262072748485
27,2326,15,business,good,0,0,0.37965090822472014
27,1449,9,business,good,0,0,0.38761627379854063
30,1820,18,car,good,0,1,0.5768531718557688
19,983,12,furniture/equipment,good,0,1,0.5857532650573688
39,3249,36,car,good,0,1,0.5028377997310838
31,1957,6,radio/TV,good,0,0,0.0951224705352911
31,2406,9,furniture/equipment,good,0,0,0.362879305839964
32,11760,39,education,good,0,1,0.545260240622291
55,2578,12,furniture/equipment,good,0,0,0.229822154426143
46,2348,36,furniture/equipment,good,0,0,0.46065968351354686
46,1223,12,car,bad,1,1,0.5969079956079245
43,1516,24,radio/TV,good,0,0,0.36562805157982814
39,1473,18,radio/TV,good,0,0,0.35329578577759463
28,1887,18,business,good,0,0,0.4537049216425047
27,8648,24,business,bad,1,1,0.7775222927626355
27,802,14,car,good,0,1,0.6483857046683087
43,2899,18,car,good,0,0,0.42080310198489834
22,2039,24,radio/TV,bad,1,1,0.7309646114682197
43,2197,24,car,good,0,0,0.44267982112703874
27,1053,15,radio/TV,good,0,0,0.4121615454735391
26,3235,24,radio/TV,good,0,0,0.46835179460908216
28,939,12,car,bad,1,1,0.6980640831156469
20,1967,24,radio/TV,good,0,1,0.7178401801914069
35,7253,33,car,good,0,0,0.3328230872946309
42,2292,12,business,bad,1,0,0.363849084365751
40,1597,10,car,good,0,0,0.20163652842308827
35,1381,24,car,bad,1,1,0.6014069666189942
35,5842,36,car,good,0,0,0.2702548265293638
33,2579,12,car,bad,1,0,0.48447800490688964
23,8471,18,education,good,0,1,0.672381894204114
31,2782,21,car,good,0,1,0.5150299212849049
33,1042,18,car,bad,1,1,0.7540581701055845
20,3186,15,car,good,0,1,0.5103536133661558
30,2028,12,car,good,0,0,0.44969484782781544
47,958,12,car,good,0,1,0.5403500772511571
34,1591,21,furniture/equipment,good,0,0,0.48842726001705117
25,2762,12,furniture/equipment,bad,1,1,0.6189401643996275
21,2779,18,car,good,0,1,0.6639431158691735
29,2743,28,radio/TV,good,0,0,0.49399703632870834
46,1149,18,radio/TV,good,0,0,0.3155312863925315
20,1313,9,furniture/equipment,good,0,1,0.6286566528358418
55,1190,18,repairs,bad,1,0,0.37806841242865064
74,3448,5,business,good,0,0,0.25952493120241366
29,11328,24,vacation/others,bad,1,1,0.718528340871798
36,1872,6,furniture/equipment,good,0,0,0.15593500048203565
33,2058,24,repairs,good,0,1,0.571834183887636
25,2136,9,furniture/equipment,good,0,1,0.5781645024006192
25,1484,12,radio/TV,bad,1,1,0.5666760081690048
23,660,6,repairs,good,0,0,0.31245697718285026
37,1287,24,car,good,0,1,0.6441383689404254
65,3394,42,repairs,good,0,0,0.44696770831766586
26,609,12,business,bad,1,0,0.44004464723567743
39,1884,12,car,good,0,0,0.37237140946658653
30,1620,12,furniture/equipment,good,0,0,0.39858289215793624
29,2629,20,vacation/others,good,0,0,0.45829144884133555
41,719,12,education,bad,1,1,0.5371737699599367
30,5096,48,furniture/equipment,bad,1,1,0.5734753508008545
41,1244,9,education,good,0,0,0.4115860815355918
34,1842,36,car,bad,1,1,0.6244770011054491
35,2576,7,radio/TV,good,0,0,0.09150219633637464
55,1424,12,furniture/equipment,good,0,0,0.23342106989396277
61,1512,15,repairs,bad,1,0,0.3490100497591937
30,11054,36,car,good,0,1,0.5780757413174417
29,518,6,radio/TV,good,0,0,0.1432173344380147
34,2759,12,furniture/equipment,good,0,0,0.38033410375322746
35,2670,24,car,good,0,0,0.4778792464388154
31,4817,24,car,bad,1,1,0.5502856718704094
29,2679,24,car,good,0,1,0.5793502021980513
36,3905,11,car,good,0,0,0.2687437629572228
35,3386,12,car,bad,1,0,0.4298364957847472
27,343,6,domestic appliances,good,0,0,0.37279385694961015
32,4594,18,radio/TV,good,0,0,0.4498935217691313
37,3620,36,furniture/equipment,good,0,0,0.440019821298266
36,1721,15,car,good,0,0,0.3468726197227843
34,3017,12,furniture/equipment,good,0,0,0.3808881408427445
38,754,12,education,good,0,1,0.5199179414711012
34,1950,18,business,good,0,0,0.4535453684585379
63,2924,24,car,good,0,0,0.34419602404607036
29,1659,24,radio/TV,bad,1,1,0.5380952770313499
32,7238,48,radio/TV,good,0,1,0.5059620153479807
26,2764,33,business,good,0,0,0.4978303092745767
35,4679,24,car,good,0,0,0.4578987013424849
22,3092,24,radio/TV,bad,1,1,0.6920584290005958
23,448,6,education,bad,1,1,0.5389521187698715
28,654,9,car,bad,1,1,0.652653473052968
36,1238,6,education,good,0,0,0.2742303628726833
33,1245,18,radio/TV,bad,1,1,0.5687081379713603
26,3114,18,furniture/equipment,bad,1,1,0.5632065654925633
24,2569,39,car,good,0,1,0.7539502967643925
25,5152,24,radio/TV,good,0,1,0.5990808066761677
39,1037,12,business,good,0,0,0.4780175622473417
44,1478,15,furniture/equipment,good,0,0,0.27286393137961834
23,3573,12,radio/TV,good,0,0,0.34266393482252533
26,1201,24,car,good,0,1,0.6844450988086251
57,3622,30,furniture/equipment,good,0,0,0.31397324816038774
30,960,15,furniture/equipment,good,0,1,0.5608407064743607
44,1163,12,car,good,0,1,0.5339775188419976
47,1209,6,car,bad,1,0,0.3806109915324514
52,3077,12,radio/TV,good,0,0,0.2163218327659026
62,3757,24,car,good,0,0,0.3064125603980799
35,1418,10,car,good,0,0,0.29702470636158507
26,3518,6,car,good,0,0,0.31780061089896455
26,1934,12,radio/TV,good,0,0,0.427414184997863
42,8318,27,business,bad,1,1,0.7578970207352611
27,1237,6,radio/TV,good,0,0,0.10925282358497572
38,368,6,radio/TV,good,0,0,0.07368470795760468
39,2122,12,car,good,0,0,0.3564532236029418
